==80506== NVPROF is profiling process 80506, command: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80506== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==80506== Profiling application: ./sciara_cuda_tiled_halo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80506== Profiling result:
==80506== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled_wH(double*, double*, double*, double*)",10,"flop_count_dp","Floating Point Operations(Double Precision)",1302,24303,12686
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled_wH(double*, double*, double*, double*)",10,"flop_count_sp","Floating Point Operations(Single Precision)",48,854,443
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"flop_count_dp","Floating Point Operations(Double Precision)",145,1276,710
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"flop_count_sp","Floating Point Operations(Single Precision)",20,176,98
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_dp","Floating Point Operations(Double Precision)",510,244322,122416
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled_wH(double*, double*, double*, double*, double*)",10,"flop_count_dp","Floating Point Operations(Double Precision)",9543733,9544162,9543947
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled_wH(double*, double*, double*, double*, double*)",10,"flop_count_sp","Floating Point Operations(Single Precision)",10,88,49
