==79928== NVPROF is profiling process 79928, command: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==79928== Profiling application: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==79928== Profiling result:
==79928== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Global(double*, double*, double*, double*)",10,"achieved_occupancy","Achieved Occupancy",0.186915,0.194171,0.191303
"NVIDIA GeForce GTX 980 (0)","massBalance_Global(double*, double*, double*, double*, double*)",10,"achieved_occupancy","Achieved Occupancy",0.901094,0.910208,0.905218
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"achieved_occupancy","Achieved Occupancy",0.506735,0.519274,0.514006
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"achieved_occupancy","Achieved Occupancy",0.096366,0.798859,0.447613
