==80272== NVPROF is profiling process 80272, command: ./sciara_cuda_cfamo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80272== Profiling application: ./sciara_cuda_cfamo ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80272== Profiling result:
==80272== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"achieved_occupancy","Achieved Occupancy",0.506256,0.523910,0.515045
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"achieved_occupancy","Achieved Occupancy",0.096722,0.807589,0.452156
"NVIDIA GeForce GTX 980 (0)","CfAMo_Kernel(double const *, double const *, double const *, double*, double*)",10,"achieved_occupancy","Achieved Occupancy",0.241459,0.241852,0.241676
