==80423== NVPROF is profiling process 80423, command: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80423== Profiling application: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 10 10 1.0
==80423== Profiling result:
==80423== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"NVIDIA GeForce GTX 980 (0)","massBalance_Tiled(double*, double*, double*, double*, double*)",10,"achieved_occupancy","Achieved Occupancy",0.473032,0.474272,0.473565
"NVIDIA GeForce GTX 980 (0)","computeOutflows_Tiled(double*, double*, double*, double*)",10,"achieved_occupancy","Achieved Occupancy",0.223277,0.227224,0.225422
"NVIDIA GeForce GTX 980 (0)","computeNewTemperatureAndSolidification_Global(double*, double*, double*, double*, double*, double*, double*, bool const *)",10,"achieved_occupancy","Achieved Occupancy",0.507842,0.521146,0.512220
"NVIDIA GeForce GTX 980 (0)","reduceKernel(double const *, double*, int)",2,"achieved_occupancy","Achieved Occupancy",0.096522,0.823414,0.459968
